ID,Название,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12,Ссылка на страницу
2026382,RVTV6,REITER SOFTWARE,,,,Читалка,,,,,"Читалка, предназначена для создания красиво и профессионально оформленных документаций и газет",rvtv6.zip,,,,,,,,,,,,,,,,,,,,,,
2026383,VXT TEXT VIEWER v.4.0,REITER SOFTWARE,,,,Читалка,,,,,Читалка VXT файлов,vxt-text-view-v4.0.zip,,,,,,,,,,,,,,,,,,,,,,
2026384,VorteX! UTILITES,Terra Software Inc,,,,Утилита,,,,,Модули для издательской системы 'VorteX!',vxuttilites.7z,,VorteX! utilites v.1.01,,,,,,,,,,,,,,,,,,,,
2026385,CONTED8,UI & MKT corp.,,,,Утилита,,,,,Конвертер текстов в формат TED8,conted8.zip,,,,,,,,,,,,,,,,,,,,,,
2026386,CONVER-9,UI & MKT corp,,,,Утилита,,,,,Конвертер текстов для READER-9,conver-9.zip,,,,,,,,,,,,,,,,,,,,,,
2026387,BRED,Бакулин А.Е.,,,,Текстовый редактор,,,,,Текстовый редактор BRED при малых размерах большой функционал. В архиве с программой подробная документация,bred-v.1.zip,BRED v.1,bred2_0.zip,BRED v.2.0,bred-v.2.3.zip,BRED v.2.3,,,,,,,,,,,,,,,,,
2026388,ЭЛЕКТРОННЫЙ БЛОКНОТ,Бутырский Д.,,,,Текстовый редактор,,,,,"Текстовый редактор для БК0011М. Возможности и состав БЛОКНОТА: Резидентный календарик до 2000 года, Калькулятор, Записная книжка, Электронные таблицы, Средство быстрого запуска издательской системы VorteX ЭЛЕКТРОННЫЙ БЛОКНОТ v.2.0",bloknot2.zip,,,,,,,,,,,,,,,,,,,,,,
2026389,ФОРМАТ2,Дьяков А.К.,,,,Утилита,,,,,"Пакет предназначен для форматирования текстовых файлов, написанных в любом редакторе серии EDASP, с целью придания им вида, удобного для чтения на экране",pformat2.zip,,,,,,,,,,,,,,,,,,,,,,
2026390,РЕДАКТОР ТЕКСТОВ,Жёлтый П.Н.,,,,Текстовый редактор,,,,,,redtxt.7z,Редактор текстов V.1.1,,,,,,,,,,,,,,,,,,,,,
2026391,COMFORT,Камнев С.,,,,Утилита,,,,,Программный пакет COMFORT для печати.,comfort1_20.zip,COMFORT v.1.20 ,comfort1_21.zip,COMFORT v.1.21,,,,,,,,,,,,,,,,,,,
