ID,Название,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12,Ссылка на страницу,Дата добавления,Видео,Исходники,ГитХаб
48279,СОКОБАН 2019,Щербаковский Сергей (mdk),,2019,БК0010,Логическая,2019,,,Русский,"7th place at CAFe 2019. Логическая игра-головоломка реализованная на БК. Игрок передвигает ящики по лабиринту с целью поставить все ящики на заданные конечные позиции. За раз можно передвинут только один ящик, причём герой игры может только толкать ящик, но не тянуть его.",sokoban_1_027a0.zip,,sokoban_1_19896.zip,,,,,,,,1584352468_1.png,1584352567_2.png,1584352540_3.png,1584352570_4.png,1584352497_5.png,1584352546_6.png,1584352562_7.png,1584352557_8.png,,,,,https://r-games.net/48279-sokoban-2019.html,,,,
37986,BOMBERMAN: ТЕСТ МИЛЕНЫ,Насыров Дамир (Adam Bazaroff),ADAM SOFTWARE,2015,БК0010,"Аркада, Лабиринт",2015,,,,"Цель игры: Есть лабиринт полный опасностей. Вы - отважный дядька Ханч, который умеет рожать бомбы, взрывающие всё рядом с собой. Задача каждой комнаты - найти ключ и выйти в дверь, которые могут быть видны, а могут «прятаться» за каким-то мусором. С каждым уровнем становится, что логично, всё сложнее. Добавляются новые монстры, появляются ловушки и т.д. и т.п. Но со сложностями легче бороться, когда есть бонусы. Дополнительные бомбы, защита, доп.жизни, режим привидения (чтобы можно было ходить сквозь свои бомбы...) Баги и ошибки: Игра полностью работоспособна — в наличии около сотни уровней, есть бонусы, секретные штучки и, разумеется, босс с концовкой. Единственное — не до конца «допилена» система паролей. Её несложно «взломать», да и просто перебором можно прыгнуть на случайный уровень... Ну и пара опечаток, вроде «выйти в менУ» :) Сохранение: Во время игры можно нажать КТ или СТОП (в эмуляторе это Esc обычно) для вызова меню, внизу которого вы увидите код текущего уровня. Его позже можно ввести в главном меню в пункте «Продолжить», и вы перейдёте снова на этот уровень. Причем, перейдёте с таким же арсеналом. Бомбы, бонусы и т.д. всё сохранится, кроме очков. Код цифрами, знаками и кириллическими буквами. Чит-коды: Коды нужно вводить в главном меню в пункте, как ни странно, ввести код. Большинство читов работают только при начале новой игры (кроме отмеченных звёздочкой). Все коды лучше вводите с виртуальной клавиатуры эмулятора, т.к. на БК JCUKEN клавиатура, а не QWERTY.SLOWENEM - Замедление врагов *EIGHTKEY - +8 ключей20PRTECT - +20 пунктов защитыGHOST-ON - Можно ходить через свои бомбыONJUMPER - Включить возможность перепрыгивать уровни *15-LIVES — 15 жизней на стартеFIVEBOMB - 5 бомб на старте PS. После включения ONJUMPER во время самой игры особой комбинацией можно пропустить текущую комнату. Но эту самую особую комбинацию я лишь подскажу. Вспомните как это делалось в игре «Клад» :)",BOMBER2c60.zip,,,,,,,,,,1451290206_r-games.net_bomber-01.png,1451290238_r-games.net_bomber-02.png,1451290156_r-games.net_bomber-03.png,1451290235_r-games.net_bomber-04.png,1451290237_r-games.net_bomber-05.png,1451290249_r-games.net_bomber-06.png,1451290254_r-games.net_bomber-07.png,1451290256_r-games.net_bomber-08.png,,,,,https://r-games.net/37986-bomberman-test-mileny.html,,,,
31554,САПЕР,Морозов Алексей,VINXRU,2012,БК0010,Логическая,2012,,,Русский,"Классическая игра сапер (miner), необходимо расчистить все поле от мин. 2012 год",minerf3fe.zip,,minerc_cshl.zip,Исходники с компилятором,,,,,,,1363763666_1.png,1363763631_2.png,1363763655_4.png,1363763614_3.png,,,,,,,,,https://r-games.net/31554-saper.html,,,В архиве,
873,СУПЕР ПРИКЛЮЧЕНИЕ ГАРБУЗА,Санько Л.Ю.,,2008,БК0010,Стратегия,2008,,,,"Игра дописанная автором в 2008г на Турбо Паскале (Баянова), урезанная версия, но графика получилась лучше чем у полной версии в DOS (IBM PC). Есть и мультипликация с использованием Animatic. В основу легли реальные события из жизни автора.",garbuzbkd909.zip,,anprmy_2bkd_1104_0939428e7d.zip,,garbuznewd2c1.zip,,garedit8aab.zip,,,,1297853801_1.jpg,1297853781_3.jpg,1297853833_4.jpg,1297853807_5.jpg,1297853856_2.jpg,,,,,,,,https://r-games.net/873-super-priklyuchenie-garbuza.html,,,,
20760,LITTLE PUFF,PUFIX ltd,PUFIX ltd,2003,БК0010,"Платформа, Квест",2003,,,,"Маленький дракончик Пафф потерялся и не может попасть домой. Вход в страну драконов охраняется. Ему предстоит собрать пропуск из 4-х частей.И вот он отправляется в приключения, где ему помимо преодоления опасностей предстоит поломать голову, так как многие предметы, которые ждут его на пути, таят в себе загадку, либо не совсем исправны, либо вообще не нужны.Если Вы используете эмулятор для запуска игры, для успешного перепрыгивания ям, рекомендуется играть от эмулируемого джойстика. От клавиатуры есть смысл играть только на реальной БК.",little-puff6131.zip,,,,,,,,,,1309860469_1.jpg,1309860442_2.jpg,1309860430_3.jpg,1309860414_4.jpg,,,,,,,,,https://r-games.net/20760-little-puff.html,,,,
20759,F-15 (РЕМЕЙК),Дженгуров Г.В.,PUFIX ltd.,2001,БК0010,Леталка-Стрелялка,2001,,,,"Это ремейк Дженгуровского F-15. От оригинала отличается более быстрой загрузкой с кассеты (меньший объем файла) и тем, что после игры глаза не болят.Вам необходимо пролететь над прифронтовой полосой 2000км. Спокойному полету будет мешать авиация противника.",fan1596fd.zip,,,,,,,,,,1309857210_1.jpg,1309857292_2.jpg,1309857262_3.jpg,,,,,,,,,,https://r-games.net/20759-f-15-remeyk.html,,,,
20758,DOMINOES,PUFIX ltd,,2000,БК0010,Логическая,2000,,,Русский / Английский,"В этой головоломке перед Вами будет расположен комплект домино, т.е. 28 костей. Границы между костями стёрты, Вы должны за минимальное время обозначить, где какая кость.",dominoes0aa3.zip,,,,,,,,,,1309854906_3.jpg,1309854882_2.jpg,1309854811_1.jpg,1309854808_4.jpg,,,,,,,,,https://r-games.net/20758-dominoes.html,,,,
48349,"ПАКЕТ ПРОГРАММ: ""DIANA KT"", ""ROBOT"", ""ATS""",Насыров Дамир (Adam Bazaroff),ADAM SOFTWARE,2000,БК0010,"Обучающая, Разное",2000,,,Русский,Клавиатурный тренажёр “DiANA”.,tests-keytr-robot-ats-mk318bdde3.zip,,,,,,,,,,rbk2010_0004.png,dbk2010_0002.png,rbk2010_0005.png,bk2010_0010.png,bk2010_0013.png,bk2010_0009.png,bk2010_0008.png,dbk2010_0003.png,rbk2010_0007.png,bk2010_0014.png,,,https://r-games.net/48349-paket-programm-diana-kt-robot-ats.html,,,,
31560,SCATMAN'S WORLD DEMO (БК0011М),ET corp,АЛЬТПРО,1999,БК0011М,Демо,1999,,,,"Демонстрационная программа игры SCATMAN'S WORLD, правда из этого демо не очень понятно что за игра, да и вышла ли игра тоже неизвестно.",Scatman-DEMO03cd.zip,,,,,,,,,,1364216242_2.png,1364216212_3.png,1364216214_1.png,,,,,,,,,,https://r-games.net/31560-scatmans-world-demo-bk0011m.html,,,,
32559,MAN OF FUTURE (БК0011М),Сараев Николай (NKR SYSTEM),СНЕК,1998,БК0011М,Лабиринт,1998,,,,"2223 год. Марсианская колония основанная на Земле более 200 лет назад, находилась в полном расцвете. Земное население эвакуированное с поверхности Земли, после третьей мировой войны, на Юпитер, было на грани своего исчезновения. Малое содержание воды на огромной планете не могло обеспечить трехмиллиардное людское население. Из-за невозможности выжить на этой планете совместными усилиями лучших ученых того времени, был создан кибернетический аналог человека, который был отправлен в 2022 год для предотвращения развития марсианской колонии на Земле. Ваша задача, управляя этим киборгом, добраться до главного реактора, пройдя запутанный лабиринт.",MANofFUTURE1ad2.zip,,,,,,,,,,1404979844_r-games.net_1.png,1404979880_r-games.net_2.png,1404979832_r-games.net_3.png,1404979861_r-games.net_4.png,1404979876_r-games.net_5.png,1404979843_r-games.net_6.png,1404979835_r-games.net_7.png,,,,,,https://r-games.net/32559-man-of-future.html,,,,
887,UFO НЛО : ВРАГ НЕИЗВЕСТЕН,"Кононенко C., Чудиновских И., Боровик А.",MERCURY SOFTWARE,1998,БК0011М,Стратегия,1998,"Чудиновских И., Боровик А.",,,"Краткий сюжет В начале XXI века активность НЛО в воздушном пространстве Земли резко возросла. Корабли пришельцев начали атаковать самолёты, военные базы, города и похищать людей. Ситуация вышла из-под контроля правительств многих стран. Основные страны мира приняли решение создать международный",mercury2b64.rar,,,,,,,,,,1327931846_1.jpg,1297858947_screen-shot-2010-12-13-at-1_51_38.png,1327931755_3.jpg,1327931791_2.jpg,,,,,,,,,https://r-games.net/887-ufo-nlo-vrag-neizvesten.html,,,,
318,ATTACK TO THE EARTH (БК0011М),"Жебраков Андрей (Star software), Мочалов Михаил (Bell corp/MMV), Мочалов Петр (PVM)",TSN Computer,1997,БК0011М,Аркада,1997,Жебраков Андрей (Star software),Мочалов Михаил (Bell corp/MMV),,"ATTACK TO THE EARTH — это захватывающая игра для БК0011М, которая предлагает игрокам погрузиться в мир космических приключений и сражений. В этой игре вам предстоит взять на себя роль космического воина, который должен пройти через множество испытаний и сражений, чтобы спасти Землю от нашествия инопланетных захватчиков. Смысл игры заключается в том, чтобы убивать врагов и собирать предметы, которые помогут вам продвигаться дальше по уровням. Каждый уровень представляет собой новое испытание, которое требует от игрока максимальной концентрации и умения быстро принимать решения. По мере прохождения игры вы будете сталкиваться с различными врагами, каждый из которых имеет свои уникальные способности и атаки. Вам нужно будет научиться адаптироваться к их поведению и использовать свои навыки и оружие, чтобы победить их. Но самое интересное начинается, когда вы выполняете свою миссию и встречаетесь с боссом. Это финальное сражение, которое потребует от вас всех ваших навыков и умений.",attacktotheearth463e.zip,,,,,,,,,,1296723663_1.jpg,earth_1.png,1296723697_2.jpg,earth_2.png,earth_3.png,earth_4.png,earth_5.png,earth_6.png,earth_7.png,earth_8.png,,,https://r-games.net/318-attack-to-the-earth-bk0011.html,,,,
